                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2622,                 4.2638,                 1.9528,                0.00323,                0.33333,                0.05932,                0.03438,                 2.0825,                 4.1024,                 1.9231,                      0,                      0,                      0
                      2,                 1.6421,                 3.7595,                 1.5179,                0.00336,                0.33333,                0.18242,                0.10176,                 2.0834,                    4.1,                 1.8907,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      3,                 1.9746,                 4.1447,                  1.565,                0.00332,                0.33333,                0.17965,                0.10165,                 2.0774,                 4.0932,                  1.872,             1.2866e-05,             1.2866e-05,             1.2866e-05
                      4,                   2.07,                 4.5235,                 1.7529,                0.00338,                0.33333,                0.17689,                0.11719,                 2.0475,                 4.0842,                 1.8517,             1.8239e-05,             1.8239e-05,             1.8239e-05
                      5,                 2.2442,                 4.0542,                 2.0246,                0.00338,                0.33333,                0.17689,                0.11719,                 2.0475,                 4.0842,                 1.8517,             2.2905e-05,             2.2905e-05,             2.2905e-05
                      6,                 1.9449,                 4.1703,                 1.3993,                0.34281,                0.16667,                0.17413,                0.11691,                 1.9968,                 4.0632,                 1.8178,             2.6864e-05,             2.6864e-05,             2.6864e-05
                      7,                 2.2209,                 4.2195,                 1.9246,                0.34281,                0.16667,                0.17413,                0.11691,                 1.9968,                 4.0632,                 1.8178,             3.0117e-05,             3.0117e-05,             3.0117e-05
                      8,                 2.1565,                 4.2093,                 2.0959,                0.86026,                0.16667,                0.17304,                 0.1168,                 1.8916,                 4.0417,                 1.7008,             3.2662e-05,             3.2662e-05,             3.2662e-05
                      9,                 1.5297,                 4.4148,                 1.5783,                0.86026,                0.16667,                0.17304,                 0.1168,                 1.8916,                 4.0417,                 1.7008,               3.45e-05,               3.45e-05,               3.45e-05
                     10,                 1.9615,                 4.2743,                 1.7576,                0.89173,                0.16667,                0.17274,                0.11677,                 1.8096,                   4.03,                 1.6222,             3.5632e-05,             3.5632e-05,             3.5632e-05
                     11,                 2.0192,                 5.0938,                 1.8233,                0.89173,                0.16667,                0.17274,                0.11677,                 1.8096,                   4.03,                 1.6222,             3.6057e-05,             3.6057e-05,             3.6057e-05
                     12,                 1.9998,                 5.0908,                 1.9274,                0.89173,                0.16667,                0.17274,                0.11677,                 1.8096,                   4.03,                 1.6222,             3.5775e-05,             3.5775e-05,             3.5775e-05
                     13,                 1.8708,                 4.9638,                  1.543,                0.89913,                0.16667,                0.19347,                0.11885,                 1.7726,                 4.0293,                 1.5621,             3.4786e-05,             3.4786e-05,             3.4786e-05
                     14,                 1.7875,                 4.5825,                  1.499,                0.89913,                0.16667,                0.19347,                0.11885,                 1.7726,                 4.0293,                 1.5621,              3.309e-05,              3.309e-05,              3.309e-05
                     15,                 1.9224,                  5.087,                 1.9083,                0.89913,                0.16667,                0.19347,                0.11885,                 1.7726,                 4.0293,                 1.5621,             3.0688e-05,             3.0688e-05,             3.0688e-05
                     16,                  1.833,                 4.9063,                 1.5168,                0.90524,                0.16667,                0.19347,                0.11885,                 1.7833,                 4.0238,                  1.576,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     17,                 1.8296,                 4.7374,                 1.7405,                0.90524,                0.16667,                0.19347,                0.11885,                 1.7833,                 4.0238,                  1.576,             2.3762e-05,             2.3762e-05,             2.3762e-05
                     18,                 2.0833,                 4.8419,                 1.9089,                0.90524,                0.16667,                0.19347,                0.11885,                 1.7833,                 4.0238,                  1.576,             1.9239e-05,             1.9239e-05,             1.9239e-05
                     19,                 2.0927,                 4.6029,                 1.8587,                0.90524,                0.16667,                0.19347,                0.11885,                 1.7833,                 4.0238,                  1.576,             1.4009e-05,             1.4009e-05,             1.4009e-05
                     20,                 1.6508,                 4.6432,                  1.658,                0.90682,                0.16667,                0.20654,                0.13749,                 1.8345,                 4.0186,                 1.6441,             8.0718e-06,             8.0718e-06,             8.0718e-06
