                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7623,                 4.4588,                 1.5523,                0.00138,                0.25714,                0.07172,                0.02949,                 1.9278,                 5.1204,                 1.9184,              1.428e-05,              1.428e-05,              1.428e-05
                      2,                 1.8865,                 4.5033,                 1.6396,                0.00134,                0.22381,                0.07466,                0.03141,                  1.786,                 5.0056,                 1.8192,             3.5347e-05,             3.5347e-05,             3.5347e-05
                      3,                 1.5864,                 4.3416,                 1.4361,                 0.0018,                0.24881,                0.08403,                0.04475,                 1.5703,                 5.0578,                 1.6777,             5.5989e-05,             5.5989e-05,             5.5989e-05
                      4,                 1.3361,                 4.1727,                 1.2836,                0.00237,                0.23095,                0.09616,                0.04831,                 1.4498,                  4.952,                 1.6209,             7.6207e-05,             7.6207e-05,             7.6207e-05
                      5,                 1.3573,                 4.3128,                 1.3634,                0.00299,                0.25595,                0.09752,                0.05343,                 1.3425,                 4.9545,                 1.5289,             9.6002e-05,             9.6002e-05,             9.6002e-05
                      6,                 1.2857,                  4.097,                 1.3478,                0.00437,                 0.2631,                0.11713,                0.07856,                 1.2341,                 4.8209,                 1.4791,             0.00011537,             0.00011537,             0.00011537
                      7,                 1.3643,                 3.9131,                 1.4135,                0.00563,                0.39643,                0.11682,                0.08393,                 1.2044,                 4.7563,                 1.4743,             0.00013432,             0.00013432,             0.00013432
                      8,                 1.3109,                 3.3962,                 1.3371,                0.00731,                0.39643,                0.13308,                0.09939,                 1.1764,                 4.7012,                 1.4394,             0.00015284,             0.00015284,             0.00015284
                      9,                 1.4294,                 3.7861,                  1.569,                0.00754,                0.38929,                 0.1373,                0.10085,                 1.1469,                 4.7128,                 1.4079,             0.00017094,             0.00017094,             0.00017094
                     10,                 1.1014,                 2.9398,                 1.2045,                0.00828,                0.40714,                0.14722,                 0.1071,                 1.1253,                 4.6561,                 1.3692,             0.00018861,             0.00018861,             0.00018861
                     11,                 1.2308,                 3.3482,                 1.2772,                0.00918,                0.41429,                0.15463,                0.11243,                 1.1021,                 4.6129,                 1.3508,             0.00020586,             0.00020586,             0.00020586
                     12,                 1.0616,                 3.0859,                 1.1882,                0.00905,                0.41429,                0.17372,                0.13194,                 1.0714,                 4.6026,                 1.3178,             0.00022269,             0.00022269,             0.00022269
                     13,                 1.0303,                 2.9492,                 1.1437,                0.01075,                0.44762,                 0.1869,                0.14179,                 1.0028,                 4.5609,                 1.2546,             0.00023909,             0.00023909,             0.00023909
                     14,                 1.0918,                  2.985,                 1.1866,                0.01157,                0.54762,                 0.2136,                0.16759,                0.97962,                 4.4425,                 1.2285,             0.00025506,             0.00025506,             0.00025506
                     15,                 1.0762,                  2.586,                 1.1805,                0.01146,                0.44762,                0.22152,                0.18598,                0.89313,                 4.3663,                 1.1803,             0.00027062,             0.00027062,             0.00027062
                     16,                0.90842,                 2.6965,                 1.1872,                      1,                0.06208,                0.21674,                0.18581,                0.87162,                 4.2138,                 1.1746,             0.00028575,             0.00028575,             0.00028575
                     17,                 1.1555,                 2.9791,                 1.1898,                0.99524,                0.06667,                0.22423,                0.18969,                0.85533,                  4.064,                  1.146,             0.00030045,             0.00030045,             0.00030045
                     18,                0.94197,                 2.6462,                 1.1076,                0.98429,                0.06667,                0.29377,                0.23533,                0.84594,                 3.9513,                 1.1216,             0.00031473,             0.00031473,             0.00031473
                     19,                 1.1304,                 2.5727,                 1.2184,                0.98429,                0.06667,                0.29377,                0.23533,                0.84594,                 3.9513,                 1.1216,             0.00032859,             0.00032859,             0.00032859
                     20,                 1.0522,                 2.6815,                 1.2029,                0.97896,                0.06667,                0.32701,                0.24874,                0.93545,                 3.8275,                 1.1532,             0.00034202,             0.00034202,             0.00034202
                     21,                  1.164,                 2.8003,                 1.3649,                0.97959,                0.18456,                0.33036,                0.25465,                0.91573,                 3.6728,                 1.1505,             0.00035503,             0.00035503,             0.00035503
                     22,                  1.116,                 2.3552,                 1.1638,                0.97959,                0.18456,                0.33036,                0.25465,                0.91573,                 3.6728,                 1.1505,             0.00036761,             0.00036761,             0.00036761
                     23,                  1.133,                 2.8566,                 1.2622,                0.87578,                0.17863,                0.32732,                0.25755,                0.97994,                  3.579,                 1.1652,             0.00037977,             0.00037977,             0.00037977
                     24,                 1.0179,                 2.6194,                 1.2611,                0.84821,                0.16186,                0.35466,                0.27874,                0.97226,                 3.5026,                 1.1668,             0.00039151,             0.00039151,             0.00039151
                     25,                 1.0313,                 2.3752,                 1.2096,                0.84821,                0.16186,                0.35466,                0.27874,                0.97226,                 3.5026,                 1.1668,             0.00040282,             0.00040282,             0.00040282
                     26,                 1.1498,                 2.3096,                 1.2426,                0.75235,                0.24858,                0.39522,                0.30908,                0.98942,                 3.3854,                 1.1639,             0.00041371,             0.00041371,             0.00041371
                     27,                0.98855,                 2.1549,                 1.1118,                0.75235,                0.24858,                0.39522,                0.30908,                0.98942,                 3.3854,                 1.1639,             0.00042417,             0.00042417,             0.00042417
